"","x"
"1",4
"2",1
"3",4
"4",3
"5",2
"6",3
"7",2
"8",5
"9",3
"10",4
"11",6
"12",4
"13",3
"14",4
"15",0
"16",2
"17",5
"18",4
"19",6
"20",6
"21",2
"22",2
"23",6
"24",2
"25",3
"26",5
"27",5
"28",1
"29",4
"30",0
"31",2
"32",4
"33",7
"34",3
"35",4
"36",2
"37",3
"38",4
"39",4
"40",3
"41",2
"42",5
"43",3
"44",1
"45",1
"46",4
"47",2
"48",6
"49",4
"50",8
"51",1
"52",4
"53",2
"54",2
"55",3
"56",4
"57",4
"58",0
"59",3
"60",4
"61",5
"62",0
"63",1
"64",5
"65",1
"66",4
"67",5
"68",3
"69",4
"70",5
"71",6
"72",5
"73",2
"74",2
"75",1
"76",4
"77",2
"78",5
"79",1
"80",3
"81",1
"82",3
"83",3
"84",2
"85",5
"86",4
"87",3
"88",3
"89",2
"90",6
"91",3
"92",5
"93",5
"94",4
"95",5
"96",1
"97",7
"98",4
"99",3
"100",6
"101",3
"102",4
"103",5
"104",1
"105",4
"106",3
"107",7
"108",5
"109",4
"110",2
"111",1
"112",4
"113",2
"114",3
"115",5
"116",1
"117",1
"118",4
"119",4
"120",1
"121",6
"122",2
"123",6
"124",1
"125",5
"126",3
"127",3
"128",3
"129",2
"130",1
"131",3
"132",3
"133",6
"134",3
"135",1
"136",4
"137",6
"138",4
"139",3
"140",0
"141",3
"142",2
"143",0
"144",1
"145",2
"146",2
"147",4
"148",2
"149",2
"150",4
"151",5
"152",2
"153",5
"154",1
"155",3
"156",2
"157",7
"158",2
"159",1
"160",3
"161",3
"162",6
"163",1
"164",4
"165",7
"166",5
"167",3
"168",2
"169",3
"170",3
"171",2
"172",5
"173",3
"174",4
"175",1
"176",4
"177",6
"178",5
"179",2
"180",4
"181",4
"182",1
"183",4
"184",1
"185",3
"186",3
"187",3
"188",2
"189",3
"190",1
"191",3
"192",6
"193",1
"194",6
"195",3
"196",4
"197",3
"198",7
"199",3
"200",4
"201",3
"202",4
"203",6
"204",4
"205",5
"206",3
"207",3
"208",4
"209",4
"210",3
"211",0
"212",3
"213",1
"214",2
"215",2
"216",4
"217",3
"218",7
"219",4
"220",4
"221",2
"222",2
"223",2
"224",5
"225",3
"226",1
"227",4
"228",4
"229",3
"230",5
"231",6
"232",3
"233",5
"234",1
"235",2
"236",1
"237",1
"238",6
"239",3
"240",4
"241",3
"242",3
"243",3
"244",3
"245",1
"246",4
"247",1
"248",5
"249",3
"250",1
"251",5
"252",5
"253",4
"254",0
"255",3
"256",7
"257",0
"258",3
"259",4
"260",1
"261",5
"262",2
"263",0
"264",3
"265",3
"266",3
"267",2
"268",2
"269",1
"270",7
"271",3
"272",3
"273",5
"274",2
"275",4
"276",3
"277",3
"278",1
"279",7
"280",2
"281",2
"282",2
"283",1
"284",1
"285",4
"286",4
"287",5
"288",4
"289",2
"290",5
"291",8
"292",4
"293",5
"294",2
"295",6
"296",3
"297",2
"298",6
"299",5
"300",4
"301",1
"302",3
"303",3
"304",1
"305",4
"306",1
"307",2
"308",2
"309",0
"310",0
"311",4
"312",1
"313",0
"314",1
"315",3
"316",2
"317",2
"318",3
"319",8
"320",7
"321",8
"322",1
"323",2
"324",3
"325",3
"326",3
"327",4
"328",2
"329",5
"330",4
"331",1
"332",4
"333",1
"334",8
"335",0
"336",1
"337",5
"338",2
"339",1
"340",5
"341",5
"342",2
"343",2
"344",2
"345",3
"346",3
"347",2
"348",1
"349",2
"350",3
"351",3
"352",2
"353",6
"354",5
"355",4
"356",1
"357",0
"358",4
"359",0
"360",2
"361",1
"362",4
"363",2
"364",4
"365",4
"366",4
"367",5
"368",4
"369",3
"370",2
"371",2
"372",3
"373",1
"374",2
"375",2
"376",6
"377",7
"378",6
"379",4
"380",2
"381",4
"382",7
"383",2
"384",3
"385",2
"386",3
"387",3
"388",5
"389",2
"390",0
"391",1
"392",2
"393",4
"394",2
"395",1
"396",2
"397",2
"398",6
"399",4
"400",1
"401",1
"402",2
"403",4
"404",0
"405",4
"406",1
"407",3
"408",2
"409",2
"410",2
"411",1
"412",2
"413",1
"414",4
"415",3
"416",2
"417",1
"418",2
"419",6
"420",5
"421",1
"422",3
"423",2
"424",1
"425",2
"426",3
"427",3
"428",1
"429",1
"430",4
"431",4
"432",2
"433",4
"434",2
"435",2
"436",3
"437",4
"438",9
"439",5
"440",4
"441",1
"442",2
"443",5
"444",2
"445",4
"446",2
"447",1
"448",5
